AVInterval,DD_factor,DP_rule,throughput,avgFT,avgWIP
24,138,3,5,136.2,3.9966666666666666
2,126,1,5,180.0,71.64
19,132,1,5,142.2,5.22
34,158,3,4,116.5,2.2333333333333334
46,156,1,4,106.75,1.71
39,178,2,4,109.75,1.8533333333333333
11,119,2,5,165.0,11.22
6,101,1,5,178.4,21.893333333333334
4,106,2,5,174.0,34.18
1,174,1,5,179.2,146.55666666666667
41,153,1,4,106.0,1.8233333333333333
47,198,1,3,108.0,1.55
47,191,1,4,106.25,1.6733333333333333
49,160,2,3,108.0,1.57
5,181,2,5,172.0,26.716666666666665
21,137,2,5,136.2,4.79
7,110,2,5,173.0,18.423333333333332
29,105,3,4,124.75,3.1133333333333333
36,123,3,4,115.0,2.2533333333333334
1,117,2,5,172.2,146.44
16,191,2,6,150.16666666666666,6.843333333333334
48,103,1,3,103.66666666666667,1.5166666666666666
10,175,1,5,157.8,11.83
17,142,1,5,154.6,6.316666666666666
17,122,1,5,147.4,6.196666666666666
47,195,3,4,106.75,1.64
28,129,3,5,127.8,3.2133333333333334
38,187,3,4,108.25,1.8633333333333333
46,109,1,4,106.0,1.7066666666666668
34,148,2,5,116.8,2.466666666666667
43,164,3,4,106.0,1.6766666666666667
31,159,1,5,123.2,2.8866666666666667
30,100,2,5,121.8,2.95
48,104,2,4,100.0,1.52
49,151,2,3,100.0,1.49
12,152,2,5,161.2,9.526666666666667
22,179,2,5,139.4,4.43
22,158,2,5,139.0,4.423333333333333
15,168,3,5,152.0,7.083333333333333
34,140,3,4,114.5,2.2066666666666666
43,122,1,4,103.25,1.7
34,129,2,5,112.8,2.43
36,195,3,4,110.5,2.1933333333333334
38,141,3,4,110.0,1.9066666666666667
47,173,3,3,107.33333333333333,1.5433333333333332
30,147,3,4,119.25,2.59
38,147,1,4,110.5,1.9133333333333333
5,124,2,5,180.4,26.856666666666666
23,134,3,5,132.8,4.36
28,140,1,5,136.4,3.5233333333333334
39,100,3,4,108.25,1.8333333333333333
24,179,2,5,127.2,3.8
49,174,3,3,109.33333333333333,1.5833333333333333
48,180,1,3,104.33333333333333,1.5233333333333334
43,162,2,4,103.75,1.6333333333333333
48,121,3,3,108.66666666666667,1.5666666666666667
5,186,1,5,180.4,26.856666666666666
23,118,1,5,136.8,4.426666666666667
32,105,2,4,121.5,2.6866666666666665
22,189,1,5,132.4,4.26
10,132,2,5,159.8,11.863333333333333
15,154,3,5,155.8,7.1466666666666665
13,106,1,5,158.8,9.276666666666667
36,174,2,4,106.0,2.1333333333333333
23,165,3,5,135.2,4.4
1,171,2,5,178.4,146.54333333333332
32,178,1,5,110.2,2.4766666666666666
32,166,1,4,120.25,2.67
31,146,2,5,114.4,2.6466666666666665
30,103,3,5,122.4,2.96
41,154,3,4,100.0,1.7433333333333334
18,165,1,5,149.6,5.793333333333333
27,110,1,5,126.0,3.45
8,155,3,5,168.0,16.026666666666667
47,126,2,4,108.25,1.7133333333333334
20,170,2,5,142.0,4.766666666666667
8,179,3,6,178.66666666666666,15.973333333333333
31,123,2,4,126.25,2.716666666666667
7,103,3,5,169.0,18.356666666666666
16,147,1,5,158.2,7.056666666666667
25,121,2,5,131.2,3.6366666666666667
34,146,2,5,110.6,2.3833333333333333
14,193,3,5,161.0,8.283333333333333
2,193,3,5,180.0,71.64
48,186,1,4,103.5,1.5866666666666667
43,130,1,4,103.25,1.7
20,154,3,5,139.8,4.73
33,100,1,5,110.0,2.493333333333333
25,155,3,5,128.2,3.546666666666667
32,194,3,4,121.5,2.6866666666666665
46,156,1,4,106.0,1.6933333333333334
3,193,1,5,175.2,46.63
5,158,1,5,175.0,26.766666666666666
3,144,1,6,190.66666666666666,46.593333333333334
35,137,2,5,112.2,2.41
25,191,2,4,122.5,3.3833333333333333
31,117,1,5,128.4,3.026666666666667
46,143,2,4,106.0,1.6933333333333334
18,150,3,5,145.2,5.72
37,177,3,4,108.75,2.19
10,190,1,5,162.8,11.913333333333334
15,146,1,5,151.0,7.066666666666666
37,181,1,4,110.75,2.216666666666667
37,156,3,5,106.2,2.14
5,107,2,5,173.4,26.74
4,189,2,5,178.6,34.25666666666667
3,149,1,6,185.33333333333334,46.486666666666665
10,125,3,5,164.6,11.943333333333333
42,199,3,4,106.75,1.8433333333333333
22,176,1,5,139.0,4.663333333333333
36,121,2,4,111.0,2.2
32,160,2,5,118.2,2.703333333333333
11,176,3,5,156.2,11.073333333333334
37,173,3,4,104.5,2.1333333333333333
8,191,2,5,175.6,16.153333333333332
7,178,2,6,181.5,18.45
3,189,3,6,190.66666666666666,46.593333333333334
14,189,2,5,158.6,8.243333333333334
13,186,3,5,155.8,9.226666666666667
48,135,3,3,100.0,1.48
34,146,3,5,112.0,2.4266666666666667
2,149,2,6,196.83333333333334,71.62333333333333
